hotel,country,adults,children,babies,market_segment,distribution_channel,lead_time,is_canceled,reserved_room_type,assigned_room_type,booking_changes,stays_in_weekend_nights,stays_in_week_nights,average_daily_rate,year,month,quarter,day
Resort Hotel,PRT,2,0.0,0,Direct,Direct,342,0,C,C,3,0,0,0.0,2015,7,3,1
Resort Hotel,PRT,2,0.0,0,Direct,Direct,737,0,C,C,4,0,0,0.0,2015,7,3,1
Resort Hotel,GBR,1,0.0,0,Direct,Direct,7,0,A,C,0,0,1,75.0,2015,7,3,2
Resort Hotel,GBR,1,0.0,0,Corporate,Corporate,13,0,A,A,0,0,1,75.0,2015,7,3,2
Resort Hotel,GBR,2,0.0,0,Online TA,TA/TO,14,0,A,A,0,0,2,98.0,2015,7,3,3
Resort Hotel,PRT,2,0.0,0,Direct,Direct,0,0,C,C,0,0,2,107.0,2015,7,3,3
Resort Hotel,PRT,2,0.0,0,Direct,Direct,9,0,C,C,0,0,2,103.0,2015,7,3,3
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,85,1,A,A,0,0,3,82.0,2015,5,2,6
Resort Hotel,PRT,2,0.0,0,Offline TA/TO,TA/TO,75,1,D,D,0,0,3,105.5,2015,4,2,22
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,23,1,E,E,0,0,4,123.0,2015,6,2,23
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,35,0,D,D,0,0,4,145.0,2015,7,3,5
Resort Hotel,USA,2,0.0,0,Online TA,TA/TO,68,0,D,E,0,0,4,97.0,2015,7,3,5
Resort Hotel,ESP,2,1.0,0,Online TA,TA/TO,18,0,G,G,1,0,4,154.77,2015,7,3,5
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,37,0,E,E,0,0,4,94.71,2015,7,3,5
Resort Hotel,IRL,2,0.0,0,Online TA,TA/TO,68,0,D,E,0,0,4,97.0,2015,7,3,5
Resort Hotel,PRT,2,0.0,0,Offline TA/TO,TA/TO,37,0,E,E,0,0,4,97.5,2015,7,3,5
Resort Hotel,IRL,2,0.0,0,Online TA,TA/TO,12,0,A,E,0,0,1,88.2,2015,7,3,2
Resort Hotel,FRA,2,0.0,0,Corporate,Corporate,0,0,A,G,0,0,1,107.42,2015,7,3,2
Resort Hotel,GBR,2,0.0,0,Direct,Direct,7,0,G,G,0,0,4,153.0,2015,7,3,5
Resort Hotel,GBR,1,0.0,0,Online TA,TA/TO,37,0,F,F,0,1,4,97.29,2015,7,3,6
Resort Hotel,PRT,2,0.0,0,Direct,Direct,72,0,A,A,1,2,4,84.67,2015,7,3,7
Resort Hotel,PRT,2,0.0,0,Direct,Direct,72,0,D,D,1,2,4,99.67,2015,7,3,7
Resort Hotel,GBR,2,0.0,0,Offline TA/TO,TA/TO,127,0,D,I,0,2,5,94.95,2015,7,3,1
Resort Hotel,PRT,2,0.0,0,Offline TA/TO,TA/TO,78,0,D,D,0,2,5,63.6,2015,7,3,8
Resort Hotel,IRL,2,0.0,0,Offline TA/TO,TA/TO,48,0,D,D,0,2,5,79.5,2015,7,3,8
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,60,1,E,E,0,2,5,107.0,2015,5,2,11
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,77,0,A,A,0,2,5,94.0,2015,7,3,8
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,99,0,D,D,0,2,5,87.3,2015,7,3,8
Resort Hotel,Unknown,1,0.0,0,Direct,Direct,118,0,A,A,2,4,10,62.0,2015,7,3,15
Resort Hotel,GBR,2,0.0,0,Offline TA/TO,TA/TO,95,0,D,D,0,4,11,63.86,2015,7,3,16
Resort Hotel,PRT,2,0.0,0,Direct,Direct,96,1,E,E,0,2,8,108.3,2015,5,2,29
Resort Hotel,IRL,2,0.0,0,Offline TA/TO,TA/TO,69,0,A,C,0,2,4,65.5,2015,7,3,8
Resort Hotel,PRT,3,0.0,0,Online TA,TA/TO,45,1,D,D,0,1,3,108.8,2015,5,2,19
Resort Hotel,PRT,3,0.0,0,Online TA,TA/TO,40,1,D,D,0,1,3,108.8,2015,6,2,19
Resort Hotel,ESP,2,0.0,0,Online TA,TA/TO,15,0,A,C,0,1,3,98.0,2015,7,3,6
Resort Hotel,PRT,3,0.0,0,Online TA,TA/TO,36,0,D,D,0,1,3,108.8,2015,7,3,6
Resort Hotel,PRT,3,0.0,0,Online TA,TA/TO,43,1,D,D,0,1,3,108.8,2015,5,2,23
Resort Hotel,ROU,2,0.0,0,Direct,Direct,70,0,E,E,0,2,3,137.0,2015,7,3,7
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,45,1,G,G,0,2,3,117.81,2015,5,2,18
