hotel,country,adults,children,babies,market_segment,distribution_channel,lead_time,is_canceled,reserved_room_type,assigned_room_type,booking_changes,stays_in_weekend_nights,stays_in_week_nights,average_daily_rate,year,month,quarter,day
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,74,1,A,A,0,1,0,57.6,2017,10,4,20
Resort Hotel,AUT,2,0.0,0,Online TA,TA/TO,62,1,A,A,0,2,2,51.5,2017,12,4,4
Resort Hotel,AUT,2,0.0,0,Online TA,TA/TO,62,1,A,A,0,2,2,51.5,2017,11,4,11
Resort Hotel,PRT,1,0.0,0,Online TA,TA/TO,71,1,A,A,0,2,2,32.22,2017,10,4,29
Resort Hotel,ITA,2,0.0,0,Online TA,TA/TO,88,1,A,A,0,2,3,44.64,2017,11,4,20
Resort Hotel,BEL,2,0.0,0,Online TA,TA/TO,172,1,A,A,0,2,5,42.69,2017,7,3,13
Resort Hotel,GBR,2,0.0,0,Online TA,TA/TO,168,1,A,A,0,2,5,42.69,2017,7,3,17
Resort Hotel,DEU,1,0.0,0,Online TA,TA/TO,52,1,A,A,0,2,5,42.43,2017,11,4,11
Resort Hotel,PRT,1,0.0,0,Offline TA/TO,TA/TO,25,1,A,A,0,4,10,41.4,2017,12,4,7
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,42,1,A,A,0,1,0,42.0,2017,12,4,17
Resort Hotel,BRA,2,0.0,0,Direct,Direct,143,1,A,A,1,1,1,34.02,2017,12,4,24
Resort Hotel,GBR,2,0.0,0,Online TA,TA/TO,89,1,D,D,0,1,3,46.8,2017,1,1,2
Resort Hotel,IRL,2,0.0,0,Online TA,TA/TO,131,1,E,E,1,1,3,55.8,2017,10,4,19
Resort Hotel,BRA,2,0.0,0,Online TA,TA/TO,21,1,A,A,0,1,3,48.0,2017,12,4,12
Resort Hotel,GBR,2,0.0,0,Online TA,TA/TO,89,1,E,E,0,1,3,55.8,2017,10,4,5
Resort Hotel,PRT,2,0.0,0,Direct,Direct,48,1,A,A,1,1,4,47.8,2017,12,4,5
Resort Hotel,ESP,2,2.0,0,Online TA,TA/TO,31,1,G,G,0,1,4,88.0,2017,12,4,7
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,47,1,A,A,0,1,4,72.0,2017,11,4,20
Resort Hotel,FRA,2,1.0,1,Online TA,TA/TO,20,1,G,G,1,1,5,88.0,2017,12,4,19
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,173,1,G,G,2,1,5,78.3,2017,10,4,26
Resort Hotel,GBR,2,0.0,0,Online TA,TA/TO,36,1,A,A,0,3,7,42.0,2017,12,4,22
Resort Hotel,ESP,2,0.0,0,Online TA,TA/TO,23,1,D,D,0,0,2,88.0,2017,12,4,11
Resort Hotel,BRA,2,1.0,0,Direct,Direct,46,1,G,G,0,0,3,79.8,2017,12,4,23
Resort Hotel,AUS,3,0.0,0,Online TA,TA/TO,56,1,E,E,0,0,4,62.0,2017,12,4,21
Resort Hotel,AUS,2,1.0,0,Online TA,TA/TO,56,1,H,H,0,0,4,87.0,2017,12,4,21
Resort Hotel,ITA,2,2.0,0,Online TA,TA/TO,149,1,G,G,0,0,5,87.0,2017,11,4,5
Resort Hotel,LUX,2,0.0,0,Online TA,TA/TO,44,1,A,A,0,2,5,42.0,2017,11,4,20
Resort Hotel,CHE,2,0.0,0,Online TA,TA/TO,68,1,A,A,0,2,5,37.8,2017,11,4,21
Resort Hotel,PRT,1,0.0,0,Direct,Direct,6,1,A,A,0,0,1,39.0,2017,1,1,3
Resort Hotel,GBR,2,0.0,0,Online TA,TA/TO,23,1,A,A,0,0,3,48.0,2017,12,4,13
Resort Hotel,BRA,2,0.0,0,Online TA,TA/TO,43,1,A,A,2,1,4,42.0,2017,11,4,22
Resort Hotel,BRA,1,0.0,0,Online TA,TA/TO,43,1,A,A,2,1,4,37.0,2017,11,4,22
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,112,1,D,D,0,2,4,52.0,2017,1,1,4
Resort Hotel,GBR,2,0.0,0,Online TA,TA/TO,59,1,A,A,0,2,5,42.0,2017,11,4,8
Resort Hotel,ARG,3,1.0,0,Online TA,TA/TO,65,1,H,H,0,2,8,87.0,2017,10,4,31
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,93,1,A,A,1,0,3,51.84,2017,12,4,19
Resort Hotel,ESP,2,0.0,0,Online TA,TA/TO,4,1,A,A,0,0,3,48.0,2017,1,1,1
Resort Hotel,GBR,2,0.0,0,Online TA,TA/TO,115,1,E,E,0,2,3,92.0,2017,11,4,3
Resort Hotel,EST,1,0.0,0,Online TA,TA/TO,187,1,D,D,0,2,5,80.1,2017,7,3,3
Resort Hotel,PRT,2,0.0,0,Offline TA/TO,TA/TO,11,1,A,A,0,0,2,60.0,2017,12,4,26
Resort Hotel,NGA,1,0.0,0,Online TA,TA/TO,2,1,A,A,0,2,3,43.0,2017,1,1,6
Resort Hotel,GBR,2,0.0,0,Online TA,TA/TO,32,1,D,D,0,2,6,53.5,2017,12,4,5
Resort Hotel,GBR,2,0.0,0,Direct,Direct,27,1,A,A,0,4,10,38.86,2017,12,4,28
Resort Hotel,ESP,2,0.0,0,Online TA,TA/TO,15,1,D,D,0,0,1,78.0,2017,12,4,23
